Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,2345482,2800,15.79,3000,15.78,15.79,2304380,41102
VXX,2177238,2900,20.86,2900,20.85,20.86,2151359,25879
RSX,648008,200,29.98,10952,29.97,29.98,639437,8571
ARKG,635552,200,69.04,200,69.03,69.04,613878,21674
IEFA,541998,11400,76.32,17000,76.31,76.32,539371,2627
ITB,457771,300,79.10,200,79.09,79.09,452720,5051
EZU,278200,15300,50.15,8800,50.14,50.15,276872,1328
VIXY,277017,600,17.05,1400,17.04,17.06,264733,12284
IGV,251146,150,440.42,50,440.37,440.38,243962,7184
USMV,168138,1800,78.05,5200,78.04,78.06,167438,700
SVXY,144284,344,62.14,200,62.13,62.13,134730,9554
EFV,125369,3300,51.08,1740,51.07,51.07,123068,2301
INDA,124598,1900,49.61,1500,49.60,49.60,123027,1571
VLUE,119122,900,105.43,400,105.42,105.42,117615,1507
ARKQ,111202,50,86.55,200,86.53,86.55,106471,4731
PAVE,109570,7600,28.82,2879,28.81,28.82,109370,200
JPST,96344,61919,50.59,15735,50.58,50.59,96344,0
GOVT,90667,197100,26.50,166446,26.49,26.50,90119,548
IYZ,89284,700,31.53,6500,31.51,31.52,79205,10079
MTUM,77878,200,187.81,400,187.78,187.81,77775,103
IDV,76192,500,30.52,4600,30.51,30.52,65714,10478
CBOE,72223,104,129.74,1,129.66,129.65,72112,111
USHY,67899,4400,41.09,2000,41.08,41.08,63845,4054
ECH,67029,600,25.42,850,25.40,25.40,67026,3
RYLD,49692,700,25.72,958,25.71,25.70,47175,2517
REM,49510,707,36.95,1500,36.94,36.95,49458,52
MARZ,46700,7000,29.08,7000,28.97,29.00,46700,0
FLOT,46023,9534,50.75,3588,50.74,50.75,46023,0
VNM,33641,213,20.59,159,20.57,20.58,30439,3202
EFG,33376,600,112.72,100,112.70,112.70,33142,234
MOAT,31357,500,76.63,100,76.62,76.65,31349,8
QUAL,31039,300,145.74,600,145.72,145.70,31039,0
PICK,30090,85,41.12,300,41.07,41.11,28004,2086
NOBL,27829,36,95.90,900,95.88,95.90,27609,220
EFAV,27811,800,77.25,200,77.24,77.24,27192,619
HYD,23115,1904,62.33,307,62.32,62.32,22092,1023
ITA,20537,8,104.50,400,104.48,104.51,20338,199
OILK,20262,1600,54.43,1600,54.37,54.35,20262,0
NEAR,20216,1909,50.03,21435,50.02,50.03,20216,0
ARKX,19646,1700,20.54,3615,20.52,20.50,19364,282
IGE,19251,1500,31.25,1800,31.24,31.23,19201,50
BBEU,19195,1100,59.66,400,59.64,59.64,17872,1323
IFRA,19070,300,37.48,41,37.46,37.44,17971,1099
SMB,18965,700,17.93,600,17.91,17.92,18965,0
SLVP,18186,1200,14.39,521,14.34,14.36,18186,0
BBJP,16851,1000,58.30,500,58.26,58.26,15448,1403
CEMB,14125,800,51.32,792,51.30,51.30,12665,1460
ACWV,13961,1100,107.02,1000,106.96,107.00,13961,0
HEGD,13716,1800,19.50,4200,19.39,19.45,13716,0
BBAX,13341,3000,55.48,100,55.46,55.43,11741,1600
DRSK,11909,3000,29.22,3600,29.17,29.24,11909,0
GSST,11790,453,50.58,2203,50.57,50.58,6890,4900
GOVZ,11727,3592,22.21,3931,22.18,22.15,11727,0
BBCA,11248,500,68.31,1000,68.28,68.29,11248,0
IAGG,10902,1000,55.34,1362,55.32,55.33,10897,5
ICVT,10883,600,101.14,24,101.03,101.11,10883,0
IEO,10629,100,60.57,2000,60.54,60.53,10328,301
XBTF,10530,3200,58.21,1,57.91,58.00,7085,3445
FNOV,10401,400,38.60,965,38.56,38.58,10401,0
VSGX,9897,100,63.67,149,63.65,63.63,8697,1200
HEFA,9723,600,36.01,1200,36.00,36.01,9723,0
SMIN,9671,100,61.34,700,61.21,61.21,9671,0
ESGV,9528,200,87.93,800,87.90,87.87,9528,0
FBCG,9137,1800,36.54,100,36.43,36.45,9067,70
FCPI,8833,200,33.16,100,33.12,33.10,8833,0
CNYA,8575,1000,43.36,9,43.30,43.32,8065,510
COWZ,8151,5700,46.34,600,46.31,46.32,8151,0
BUFR,8132,100,23.82,1048,23.77,23.79,8132,0
OGIG,7936,200,56.79,900,56.72,56.73,7936,0
FDRV,7733,1000,29.86,1000,29.80,29.72,7608,125
EMHY,7701,1024,43.48,800,43.47,43.48,5244,2457
VUSB,7682,1950,50.04,4202,50.03,50.04,6182,1500
IQDG,7603,1000,39.75,1100,39.71,39.69,7303,300
FJUL,7316,3000,36.28,3000,36.21,36.22,7316,0
JMST,7299,582,51.00,1030,50.99,51.00,7299,0
IGHG,7292,100,75.28,400,74.97,74.94,7292,0
EEMV,7237,100,63.89,19,63.85,63.96,7237,0
TOKE,7219,307,13.55,752,13.40,13.40,4070,3149
PAWZ,7195,700,81.35,25,81.23,81.25,7195,0
ICF,7148,300,71.21,1600,71.19,71.00,7148,0
ICSH,7138,3239,50.44,28750,50.43,50.44,7138,0
SVAL,6791,1200,32.60,1130,32.56,32.52,6790,1
GSEW,6728,700,71.73,900,71.69,71.69,6728,0
PNOV,6661,600,30.77,500,30.73,30.75,5747,914
EMGF,6655,351,51.76,1000,51.73,51.73,4655,2000
BBUS,6456,900,85.96,300,85.94,85.96,6456,0
BBIN,6449,100,60.56,800,60.53,60.54,6449,0
ITM,6247,800,51.25,400,51.23,51.23,6247,0
BUFD,6123,5400,21.22,1460,21.16,21.20,3623,2500
IYLD,5984,9,23.90,3200,23.87,23.87,5984,0
GTIP,5961,700,59.14,721,59.13,59.14,5961,0
